case_id,t,ell,coordinate,input,score,method,seed,iterations,span,distinct_sums
hamming_weight_interval,2,10,0,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,0,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,1,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,1,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,2,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,2,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,3,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,3,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,4,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,4,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,5,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,5,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,6,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,6,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,7,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,7,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,8,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,8,1,1,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,9,0,0,explicit Hamming-weight representation,,,10,11
hamming_weight_interval,2,10,9,1,1,explicit Hamming-weight representation,,,10,11
symbol_set_interval,4,6,0,0,0,explicit count representation,,,6,7
symbol_set_interval,4,6,0,1,1,explicit count representation,,,6,7
symbol_set_interval,4,6,0,2,0,explicit count representation,,,6,7
symbol_set_interval,4,6,0,3,1,explicit count representation,,,6,7
symbol_set_interval,4,6,1,0,0,explicit count representation,,,6,7
symbol_set_interval,4,6,1,1,1,explicit count representation,,,6,7
symbol_set_interval,4,6,1,2,0,explicit count representation,,,6,7
