case_id,repetition,inputs,actual,online_ms
hamming_weight_interval,0,1:1:1:0:0:1:1:0:1:1,0,92.594045
hamming_weight_interval,1,1:1:1:1:0:0:1:1:1:0,0,90.314544
hamming_weight_interval,2,1:0:0:1:1:1:1:1:1:0,0,94.422509
hamming_weight_interval,3,0:0:1:0:1:1:0:0:1:0,1,91.970705
hamming_weight_interval,4,0:1:1:1:1:1:0:0:0:0,1,91.341849
hamming_weight_interval,5,1:0:1:0:0:1:0:0:1:1,1,93.963044
hamming_weight_interval,6,0:0:0:0:0:0:0:1:0:1,0,93.203641
hamming_weight_interval,7,0:1:0:1:0:0:1:1:1:0,1,93.602542
hamming_weight_interval,8,0:1:1:0:1:0:1:0:1:1,1,91.069562
hamming_weight_interval,9,1:1:0:0:1:0:1:1:0:0,1,91.024497
hamming_weight_interval,10,0:0:0:0:1:1:1:0:1:0,1,91.809181
hamming_weight_interval,11,1:0:0:1:1:1:0:0:0:0,1,92.562305
hamming_weight_interval,12,1:1:1:0:0:1:0:0:1:1,1,93.964534
hamming_weight_interval,13,0:0:0:1:0:0:0:1:0:0,0,92.189194
hamming_weight_interval,14,0:1:0:1:0:1:1:0:1:0,1,93.605747
hamming_weight_interval,15,0:1:0:0:1:1:0:0:1:0,1,93.795863
hamming_weight_interval,16,0:1:0:1:1:0:0:1:1:0,1,92.296351
hamming_weight_interval,17,0:1:1:0:0:0:1:0:0:1,1,92.417008
hamming_weight_interval,18,0:0:0:1:0:1:1:0:1:0,1,94.015341
hamming_weight_interval,19,0:0:1:1:0:1:1:0:1:0,1,91.411314
hamming_weight_interval,20,0:0:0:1:1:1:0:0:1:0,1,92.460434
hamming_weight_interval,21,1:0:1:0:1:1:0:1:1:0,1,91.038595
hamming_weight_interval,22,0:0:0:0:1:1:0:0:0:0,0,92.546907
hamming_weight_interval,23,1:1:1:1:1:1:1:0:1:0,0,94.030804
hamming_weight_interval,24,0:1:1:1:0:1:0:0:0:0,1,92.780021
hamming_weight_interval,25,1:1:0:0:0:0:0:1:1:0,1,91.081561
hamming_weight_interval,26,1:0:0:0:1:1:1:1:1:1,0,91.929847
hamming_weight_interval,27,1:1:0:0:1:0:0:1:1:1,1,93.813712
hamming_weight_interval,28,1:1:1:0:0:0:0:1:0:1,1,91.691481
hamming_weight_interval,29,1:0:1:1:1:1:1:0:1:0,0,90.843884
symbol_set_interval,0,0:0:0:3:3:0,1,273.388476
symbol_set_interval,1,0:1:2:1:3:2,1,278.90186
symbol_set_interval,2,1:2:0:1:0:0,1,273.936259
symbol_set_interval,3,2:0:3:3:0:2,1,276.708091
symbol_set_interval,4,1:3:2:0:3:0,1,275.896054
symbol_set_interval,5,0:2:1:0:1:0,1,277.619445
symbol_set_interval,6,0:0:2:3:1:0,1,278.873058
symbol_set_interval,7,2:3:0:3:2:0,1,275.351155
symbol_set_interval,8,1:2:2:2:0:1,1,278.741922
symbol_set_interval,9,2:0:1:1:0:3,1,270.382128
symbol_set_interval,10,0:2:0:2:0:3,0,275.425924
symbol_set_interval,11,1:0:2:0:0:3,1,272.401026
symbol_set_interval,12,2:0:3:0:0:0,0,277.891052
symbol_set_interval,13,1:1:1:3:3:3,0,273.966524
symbol_set_interval,14,0:1:3:2:2:2,1,281.742369
symbol_set_interval,15,2:0:2:0:1:0,0,278.908271
symbol_set_interval,16,3:1:3:2:1:0,1,274.595885
symbol_set_interval,17,3:0:3:2:1:2,1,277.332027
symbol_set_interval,18,2:1:3:1:0:3,1,276.509138
symbol_set_interval,19,2:1:2:0:3:3,1,275.923752
symbol_set_interval,20,0:1:3:0:2:0,1,273.902484
symbol_set_interval,21,1:1:1:0:0:1,1,274.505161
symbol_set_interval,22,0:3:3:1:0:3,1,273.644998
symbol_set_interval,23,0:3:0:0:2:3,1,271.467082
symbol_set_interval,24,3:0:1:3:1:3,0,278.19449
symbol_set_interval,25,3:2:3:0:0:1,1,274.94632
symbol_set_interval,26,0:1:0:0:1:1,1,280.50479
symbol_set_interval,27,1:2:0:3:0:1,1,300.257256
symbol_set_interval,28,3:3:2:1:3:3,0,283.684472
symbol_set_interval,29,2:3:2:2:1:2,1,285.922702
symbol_set_threshold,0,3:2:3:0:0:2,1,276.094742
symbol_set_threshold,1,2:0:1:2:2:3,1,272.67751
symbol_set_threshold,2,3:0:0:3:2:0,1,277.527685
symbol_set_threshold,3,3:2:1:1:2:3,0,272.042326
symbol_set_threshold,4,3:3:0:1:1:2,0,273.000957
symbol_set_threshold,5,0:2:1:3:0:3,1,274.332439
symbol_set_threshold,6,2:3:2:0:3:1,1,273.555593
symbol_set_threshold,7,3:0:3:3:2:0,1,277.907584
symbol_set_threshold,8,2:3:1:2:1:3,0,278.911143
symbol_set_threshold,9,1:0:2:3:1:3,0,275.862564
symbol_set_threshold,10,1:3:2:2:1:3,0,279.174475
symbol_set_threshold,11,0:0:3:0:0:2,1,278.265776
symbol_set_threshold,12,0:3:0:0:3:2,1,274.534678
symbol_set_threshold,13,2:3:2:3:0:2,1,276.080165
symbol_set_threshold,14,0:3:2:0:2:3,1,291.153552
symbol_set_threshold,15,0:1:3:2:3:0,1,275.282313
symbol_set_threshold,16,1:3:3:1:2:0,0,275.630186
symbol_set_threshold,17,0:0:2:2:3:0,1,277.109544
symbol_set_threshold,18,3:3:1:2:1:1,0,275.426841
symbol_set_threshold,19,0:2:0:3:1:1,1,273.863794
symbol_set_threshold,20,0:2:2:1:1:0,1,274.934149
symbol_set_threshold,21,3:1:1:0:1:0,0,274.058806
symbol_set_threshold,22,3:0:1:2:2:0,1,275.315227
symbol_set_threshold,23,2:0:2:3:0:1,1,278.445531
symbol_set_threshold,24,2:3:0:2:3:0,1,273.994338
symbol_set_threshold,25,1:3:0:0:2:1,1,275.733896
symbol_set_threshold,26,0:3:3:1:0:2,1,275.61629
symbol_set_threshold,27,0:0:0:0:3:1,1,273.230015
symbol_set_threshold,28,3:2:1:3:1:1,0,274.688705
symbol_set_threshold,29,3:0:3:2:1:0,1,275.32846
lower_median,0,0:0:0:0:0:1,0,275.858033
lower_median,1,1:2:0:0:2:1,1,272.476085
lower_median,2,0:0:2:2:0:2,0,274.130075
lower_median,3,2:0:2:1:2:0,1,274.086762
lower_median,4,2:1:2:0:2:0,1,276.651944
lower_median,5,0:1:1:0:1:2,1,274.180929
lower_median,6,2:1:1:1:0:0,1,273.400224
lower_median,7,0:2:0:1:2:1,1,276.016542
