TABLE11_ENV,tfhe_rs=0.8.7,parameter=PARAM_MESSAGE_6_CARRY_0_KS_PBS,packing=base_t_groups_of_3,repetitions=30
TABLE11_PACKING,hamming_weight_interval,group_size=3,packed_inner_calls=0,outer_calls=1,total_calls=1
TABLE11_RESULT,hamming_weight_interval,0,1:1:1:0:0:1:1:0:1:1,0,92.594045
TABLE11_RESULT,hamming_weight_interval,1,1:1:1:1:0:0:1:1:1:0,0,90.314544
TABLE11_RESULT,hamming_weight_interval,2,1:0:0:1:1:1:1:1:1:0,0,94.422509
TABLE11_RESULT,hamming_weight_interval,3,0:0:1:0:1:1:0:0:1:0,1,91.970705
TABLE11_RESULT,hamming_weight_interval,4,0:1:1:1:1:1:0:0:0:0,1,91.341849
TABLE11_RESULT,hamming_weight_interval,5,1:0:1:0:0:1:0:0:1:1,1,93.963044
TABLE11_RESULT,hamming_weight_interval,6,0:0:0:0:0:0:0:1:0:1,0,93.203641
TABLE11_RESULT,hamming_weight_interval,7,0:1:0:1:0:0:1:1:1:0,1,93.602542
TABLE11_RESULT,hamming_weight_interval,8,0:1:1:0:1:0:1:0:1:1,1,91.069562
TABLE11_RESULT,hamming_weight_interval,9,1:1:0:0:1:0:1:1:0:0,1,91.024497
TABLE11_RESULT,hamming_weight_interval,10,0:0:0:0:1:1:1:0:1:0,1,91.809181
TABLE11_RESULT,hamming_weight_interval,11,1:0:0:1:1:1:0:0:0:0,1,92.562305
TABLE11_RESULT,hamming_weight_interval,12,1:1:1:0:0:1:0:0:1:1,1,93.964534
TABLE11_RESULT,hamming_weight_interval,13,0:0:0:1:0:0:0:1:0:0,0,92.189194
TABLE11_RESULT,hamming_weight_interval,14,0:1:0:1:0:1:1:0:1:0,1,93.605747
TABLE11_RESULT,hamming_weight_interval,15,0:1:0:0:1:1:0:0:1:0,1,93.795863
TABLE11_RESULT,hamming_weight_interval,16,0:1:0:1:1:0:0:1:1:0,1,92.296351
TABLE11_RESULT,hamming_weight_interval,17,0:1:1:0:0:0:1:0:0:1,1,92.417008
TABLE11_RESULT,hamming_weight_interval,18,0:0:0:1:0:1:1:0:1:0,1,94.015341
TABLE11_RESULT,hamming_weight_interval,19,0:0:1:1:0:1:1:0:1:0,1,91.411314
TABLE11_RESULT,hamming_weight_interval,20,0:0:0:1:1:1:0:0:1:0,1,92.460434
TABLE11_RESULT,hamming_weight_interval,21,1:0:1:0:1:1:0:1:1:0,1,91.038595
TABLE11_RESULT,hamming_weight_interval,22,0:0:0:0:1:1:0:0:0:0,0,92.546907
TABLE11_RESULT,hamming_weight_interval,23,1:1:1:1:1:1:1:0:1:0,0,94.030804
TABLE11_RESULT,hamming_weight_interval,24,0:1:1:1:0:1:0:0:0:0,1,92.780021
TABLE11_RESULT,hamming_weight_interval,25,1:1:0:0:0:0:0:1:1:0,1,91.081561
TABLE11_RESULT,hamming_weight_interval,26,1:0:0:0:1:1:1:1:1:1,0,91.929847
TABLE11_RESULT,hamming_weight_interval,27,1:1:0:0:1:0:0:1:1:1,1,93.813712
TABLE11_RESULT,hamming_weight_interval,28,1:1:1:0:0:0:0:1:0:1,1,91.691481
TABLE11_RESULT,hamming_weight_interval,29,1:0:1:1:1:1:1:0:1:0,0,90.843884
TABLE11_SUMMARY,hamming_weight_interval,2,10,1,10,explicit Hamming-weight representation,,92.459701,1.144599,92.460434,90.314544,94.422509
TABLE11_PACKING,symbol_set_interval,group_size=3,packed_inner_calls=2,outer_calls=1,total_calls=3
TABLE11_RESULT,symbol_set_interval,0,0:0:0:3:3:0,1,273.388476
TABLE11_RESULT,symbol_set_interval,1,0:1:2:1:3:2,1,278.901860
TABLE11_RESULT,symbol_set_interval,2,1:2:0:1:0:0,1,273.936259
TABLE11_RESULT,symbol_set_interval,3,2:0:3:3:0:2,1,276.708091
TABLE11_RESULT,symbol_set_interval,4,1:3:2:0:3:0,1,275.896054
TABLE11_RESULT,symbol_set_interval,5,0:2:1:0:1:0,1,277.619445
TABLE11_RESULT,symbol_set_interval,6,0:0:2:3:1:0,1,278.873058
TABLE11_RESULT,symbol_set_interval,7,2:3:0:3:2:0,1,275.351155
TABLE11_RESULT,symbol_set_interval,8,1:2:2:2:0:1,1,278.741922
TABLE11_RESULT,symbol_set_interval,9,2:0:1:1:0:3,1,270.382128
TABLE11_RESULT,symbol_set_interval,10,0:2:0:2:0:3,0,275.425924
TABLE11_RESULT,symbol_set_interval,11,1:0:2:0:0:3,1,272.401026
TABLE11_RESULT,symbol_set_interval,12,2:0:3:0:0:0,0,277.891052
TABLE11_RESULT,symbol_set_interval,13,1:1:1:3:3:3,0,273.966524
TABLE11_RESULT,symbol_set_interval,14,0:1:3:2:2:2,1,281.742369
TABLE11_RESULT,symbol_set_interval,15,2:0:2:0:1:0,0,278.908271
TABLE11_RESULT,symbol_set_interval,16,3:1:3:2:1:0,1,274.595885
TABLE11_RESULT,symbol_set_interval,17,3:0:3:2:1:2,1,277.332027
TABLE11_RESULT,symbol_set_interval,18,2:1:3:1:0:3,1,276.509138
TABLE11_RESULT,symbol_set_interval,19,2:1:2:0:3:3,1,275.923752
TABLE11_RESULT,symbol_set_interval,20,0:1:3:0:2:0,1,273.902484
TABLE11_RESULT,symbol_set_interval,21,1:1:1:0:0:1,1,274.505161
TABLE11_RESULT,symbol_set_interval,22,0:3:3:1:0:3,1,273.644998
TABLE11_RESULT,symbol_set_interval,23,0:3:0:0:2:3,1,271.467082
TABLE11_RESULT,symbol_set_interval,24,3:0:1:3:1:3,0,278.194490
TABLE11_RESULT,symbol_set_interval,25,3:2:3:0:0:1,1,274.946320
TABLE11_RESULT,symbol_set_interval,26,0:1:0:0:1:1,1,280.504790
TABLE11_RESULT,symbol_set_interval,27,1:2:0:3:0:1,1,300.257256
TABLE11_RESULT,symbol_set_interval,28,3:3:2:1:3:3,0,283.684472
TABLE11_RESULT,symbol_set_interval,29,2:3:2:2:1:2,1,285.922702
TABLE11_SUMMARY,symbol_set_interval,4,6,3,6,explicit count representation,,277.384139,5.429005,276.509138,270.382128,300.257256
TABLE11_PACKING,symbol_set_threshold,group_size=3,packed_inner_calls=2,outer_calls=1,total_calls=3
TABLE11_RESULT,symbol_set_threshold,0,3:2:3:0:0:2,1,276.094742
TABLE11_RESULT,symbol_set_threshold,1,2:0:1:2:2:3,1,272.677510
TABLE11_RESULT,symbol_set_threshold,2,3:0:0:3:2:0,1,277.527685
TABLE11_RESULT,symbol_set_threshold,3,3:2:1:1:2:3,0,272.042326
TABLE11_RESULT,symbol_set_threshold,4,3:3:0:1:1:2,0,273.000957
TABLE11_RESULT,symbol_set_threshold,5,0:2:1:3:0:3,1,274.332439
TABLE11_RESULT,symbol_set_threshold,6,2:3:2:0:3:1,1,273.555593
TABLE11_RESULT,symbol_set_threshold,7,3:0:3:3:2:0,1,277.907584
TABLE11_RESULT,symbol_set_threshold,8,2:3:1:2:1:3,0,278.911143
TABLE11_RESULT,symbol_set_threshold,9,1:0:2:3:1:3,0,275.862564
TABLE11_RESULT,symbol_set_threshold,10,1:3:2:2:1:3,0,279.174475
TABLE11_RESULT,symbol_set_threshold,11,0:0:3:0:0:2,1,278.265776
TABLE11_RESULT,symbol_set_threshold,12,0:3:0:0:3:2,1,274.534678
TABLE11_RESULT,symbol_set_threshold,13,2:3:2:3:0:2,1,276.080165
TABLE11_RESULT,symbol_set_threshold,14,0:3:2:0:2:3,1,291.153552
TABLE11_RESULT,symbol_set_threshold,15,0:1:3:2:3:0,1,275.282313
TABLE11_RESULT,symbol_set_threshold,16,1:3:3:1:2:0,0,275.630186
TABLE11_RESULT,symbol_set_threshold,17,0:0:2:2:3:0,1,277.109544
TABLE11_RESULT,symbol_set_threshold,18,3:3:1:2:1:1,0,275.426841
TABLE11_RESULT,symbol_set_threshold,19,0:2:0:3:1:1,1,273.863794
TABLE11_RESULT,symbol_set_threshold,20,0:2:2:1:1:0,1,274.934149
TABLE11_RESULT,symbol_set_threshold,21,3:1:1:0:1:0,0,274.058806
